staff_role,count,classified_role
Dir Burn Svcs,7,UNMAPPED
Faculty FT,7,NON_CLINICAL
Supv PACU,7,UNMAPPED
Journeyman Electrician,7,UNMAPPED
Envrn Svc-Area Cleaner,7,UNMAPPED
Specialty Lead,7,UNMAPPED
Paramedic Transfer Center,7,TECH
Inventory Optimization Spec,7,UNMAPPED
Clinical Review WFH,7,UNMAPPED
Mental Health Prof III Licensed,7,UNMAPPED
Sr EHR Analyst Education WFH,7,NON_CLINICAL
Lead Pathology Asst,7,PROVIDER
Reg Respiratory Tech,7,TECH
Medical Records Specialist,7,UNMAPPED
RN Discharge Call WFH,7,RN
Blood Bank (Carter) Tech 1,7,TECH
Mgr Labor PI,7,UNMAPPED
StarTech,7,UNMAPPED
Systems Eng WFH,7,UNMAPPED
RN Plus PRN,7,RN
Porter,7,UNMAPPED
RN Womens Transport,7,RN
Mgr Clinical Svcs - Hospice,7,PROVIDER
LPN Telemetry,7,RN
Zone FISO,7,UNMAPPED
Mgr Charge Master WFH,7,UNMAPPED
Sr EHR SI Analyst WFH,7,NON_CLINICAL
Cert Surgical Tech,7,TECH
RN Transport PRN,7,RN
Registered Dietician,7,UNMAPPED
Mgr Compliance WFH,7,UNMAPPED
Coord HIM,7,UNMAPPED
Coord Injury Prev Trauma,7,PROVIDER
Phlebotomist/Sec,7,TECH
Assoc Academic Records WFH,7,UNMAPPED
Neurodiagnostic Tech PRN,7,TECH
GEBBS Clinical Denials ECW Associate,7,UNMAPPED
FNS Worker Assoc,7,UNMAPPED
Ultrasound Technician Lead,7,TECH
RN Trauma Step Down,7,RN
Purch Asst I WFH,7,UNMAPPED
Coder PRN,7,NON_CLINICAL
RN Occ Health WFH,7,RN
LIP-General Surgery,7,PROVIDER
Security Consultant,7,SECURITY
Licensed Professional Counselor,7,UNMAPPED
RN OT8 PRN,7,RN
RN Surgery-Main OR,7,RN
AVP Physician Resource Group,7,PROVIDER
RN-Rehab,7,RN
Supv Mammography,7,UNMAPPED
MRI Specialist,7,UNMAPPED
Dir Compliance WFH,7,UNMAPPED
PR Staff Accountant WFH,7,UNMAPPED
FANS Asst/Utility Tech Temp,7,TECH
Sr Data Scientist WFH,7,UNMAPPED
GAA Eastside PA Cardiologist/Radiologist,7,UNMAPPED
Nurse Technician,7,RN
Vendor - Sodexho Cook,7,NON_CLINICAL
RN Charge W/E,7,RN
LPTA PRN,7,UNMAPPED
MLT Lead,7,UNMAPPED
Executive Admin Assist,7,NON_CLINICAL
Pediatric Care Associate,7,UNMAPPED
Student Intern Pharmacy (PRN),7,NON_CLINICAL
Mental Health Tech II IPF PRN,7,TECH
Technician Orthopedics,7,PROVIDER
Lactation Consultant Cert,7,NON_CLINICAL
Coord Surgery Lead,7,PROVIDER
Billing Specialist CBO,7,NON_CLINICAL
Clin Nurse Coord Ortho,7,RN
Dir Financial Analysis WFH,7,UNMAPPED
Dir Marketing,7,UNMAPPED
LTAC-Pharmacist,7,ALLIED_HEALTH
Lead Vascular Technologist,7,TECH
Emerg Dept Tech,7,TECH
Physician - Peds Emergency,7,PROVIDER
Rehab Technician II,7,TECH
RN Med/Surg IPF PRN,7,RN
Occupational Therapist II PRN,7,ALLIED_HEALTH
Sr EHR Support Analyst WFH,7,NON_CLINICAL
Scheduler Specialist,7,NON_CLINICAL
RN Joint Replacement,7,RN
Operator PBX Lead,7,NON_CLINICAL
RN Birthing Center,7,RN
RN Resource Med/Surg,7,RN
Purchasing Coord WFH,7,UNMAPPED
Clin Teaching Asst PRN,7,UNMAPPED
Sr Data Modeler,7,UNMAPPED
Spec Recon CDI WFH PRN,7,UNMAPPED
RN NICU Float Pool,7,RN
Radiology Rep PRN,7,PROVIDER
Polysomnographer Registered,7,UNMAPPED
RN PRN Pediatric ICU,7,RN
Denton Board of Trustees,7,UNMAPPED
Assessment Referral Spec PRN,7,UNMAPPED
Staff Cloud Eng WFH,7,UNMAPPED
Fac SC Tech N FL,7,TECH
Dir Field Recruiting,7,UNMAPPED
Staff Asst PRN,7,UNMAPPED
Sr  Product Analyst,7,NON_CLINICAL
Business Office Specialist PRN,7,NON_CLINICAL
Environmental Services - Lead,7,EVS
Nutrition Asst PRN,7,NON_CLINICAL
RN PRN Surgical ICU,7,RN
System Admin II,7,NON_CLINICAL
CNO,7,UNMAPPED
RN Wound Clinic PRN,7,RN
RN Coord Virtual,7,RN
Monitor Tech ER,7,TECH
Billing Sys Analyst WFH,7,NON_CLINICAL
RN Cath Lab IV,7,RN
AKAR - Pharmacy Student,7,NON_CLINICAL
Enrollment Counselor WFH,7,UNMAPPED
RN Cath Lab (PRN),7,RN
RN PreOp Screening,7,RN
RN - SP Premium,7,RN
Surgical Technologist III W/E,7,TECH
RN Case Mgr IRF,7,RN
AVP Managed Care WFH,7,UNMAPPED
Surgical First Asst Cert,7,UNMAPPED
Coord Cardiac Svcs,7,UNMAPPED
Research Coord - 25867,7,UNMAPPED
Recruiter Team II WFH,7,UNMAPPED
RN Float Pool Super PRN,7,RN
Sr Access Coord,7,UNMAPPED
RN Supplemental PAT PRN,7,RN
Sr Physical Therapist PRN,7,ALLIED_HEALTH
Cons Clinical Impl Analyst WFH,7,NON_CLINICAL
Radiology Clerk,7,PROVIDER
Controller II,7,UNMAPPED
HIM Spec Float,7,NON_CLINICAL
Coord Chest Pain RN,7,RN
MRI Lead,7,UNMAPPED
Cons Info Protect Analyst,7,NON_CLINICAL
Dir Med/Surg/Orthopedics,7,PROVIDER
Assistant Controller,7,UNMAPPED
Contract Security,7,SECURITY
Dir Accounts WFH,7,UNMAPPED
Coord Physician Relations,7,PROVIDER
ROI,7,UNMAPPED
Product Manager,7,UNMAPPED
RN Educator EMS,7,RN
CNA - Cardio/Tel,7,TECH
Imaging Ultrasonography PRN,7,UNMAPPED
Occ Therapist - CP Staffing,7,UNMAPPED
Treasury Clerical Supp,7,UNMAPPED
Pathology Secretary,7,PROVIDER
Sr Program Mgr,7,UNMAPPED
Mgr Radiation Oncology,7,PROVIDER
PreReg TL WFH,7,UNMAPPED
Pharmacy Purchasing Agent,7,UNMAPPED
Behavioral Health Tech MST PRN,7,PROVIDER
Linen Distribution Aide,7,UNMAPPED
Recreation Therapist Cert,7,UNMAPPED
Referral Coord WFH,7,UNMAPPED
Anes/Inventory Technician,7,TECH
Coord Cardiac Cath Lab,7,UNMAPPED
Transplant Social Worker LMSW,7,ALLIED_HEALTH
RN Float Pool MB,7,RN
RN Critical Cath Lab,7,RN
RN Resident II,7,RN
Nurse Review WFH,7,RN
Clin Nurse Coord Med/Surg/Orth,7,RN
Vendor - Epic IP Clin Doc,7,NON_CLINICAL
Coord Office Radiology,7,PROVIDER
Dir Collections WFH,7,NON_CLINICAL
Unit Secretary IRF,7,NON_CLINICAL
Radiation Physicist,7,UNMAPPED
Physical Therapist Wound,7,ALLIED_HEALTH
Nurse Practitioner ER,7,PROVIDER
RN CN,7,RN
Student Nurse Instructor Non-Employee - GP,7,RN
CERTIFIED CENTRAL STERILE PROCESSING TECH,7,SUPPLY_CHAIN_TECH
RN Womens Services Float,7,RN
Mkt Mgr Facilities Mgmt/Safety,7,UNMAPPED
Echo/EKG/Vascular Tech PRN,7,TECH
Radiology Technologist OR,7,PROVIDER
Admin Asst WFH,7,NON_CLINICAL
RN System Resource Pool PT Sea,7,RN
Medical Technologist PRN B,7,TECH
Surgery Secretary,7,PROVIDER
Group CFO,7,UNMAPPED
Instrument Specialist,7,UNMAPPED
Contract Modeling TL WFH,7,UNMAPPED
POS ARA w/Bone,7,UNMAPPED
Hospitality Associate EVS II W,7,EVS
Mgr Data Science WFH,7,UNMAPPED
Transport RRT,7,TECH
Patient Services Representative Clinic,7,UNMAPPED
Internal Medicine PRN,7,PROVIDER
Sr IT Architect,7,UNMAPPED
Sunshine Health Insurance Reviewer,7,UNMAPPED
RN ED Seas PRN,7,RN
Diet Clerk - PRN,7,NON_CLINICAL
Speech Therapist Float Pool,7,UNMAPPED
Div VP Nursing Informatics,7,RN
Data Scientist WFH,7,UNMAPPED
RN Transplant/Cellular Therapy PRN,7,RN
Treasury Clerical Supp WFH,7,UNMAPPED
RN Epilepsy,7,RN
Tech Scrub (Certified),7,TECH
RN II Staff ICU PRN,7,RN
Path Speech/Lang IRF,7,UNMAPPED
Laboratory Scientist Lead,7,UNMAPPED
Dir Regulatory & Accreditation WFH,7,UNMAPPED
LPN Emerg Svcs,7,RN
Specialist Stud Fin Svcs WFH,7,UNMAPPED
IMAGING TECH,7,TECH
LVN/Med Surg,7,RN
RN Cardiovascular Intensive Care Unit (CVICU),7,RN
Patient Care Tech I - ELC,7,TECH
Senior Analyst - Talent Acquisition,7,NON_CLINICAL
PCA- PRN,7,UNMAPPED
Radiologic Tech Extender PRN,7,TECH
EVS Tech - Utility,7,EVS
LVN Med Surg,7,RN
Resident CPE,7,PROVIDER
Vendor - Epic Optime,7,NON_CLINICAL
CV Technician PRN,7,TECH
RN PRN - Gen Surgery,7,RN
Med Tech - PRN,7,TECH
Coord Research Data,7,UNMAPPED
RN Post-Anesthesia Care,7,RN
Occup Therapist Float Pool,7,UNMAPPED
Case Management Asst,7,UNMAPPED
LIP-Urology,7,PROVIDER
Clinical Practice Specialist,7,UNMAPPED
EMT A,7,TECH
Supply Chain Technician PRN,7,SUPPLY_CHAIN_TECH
Coord ED Flow/Throughput,7,UNMAPPED
RN Pain Mgmt/GI Lab/OP Svc PRN,7,RN
Specialty RN PRN,7,RN
Pathology Technician II,7,PROVIDER
LPN Resident,7,RN
Cons Data Engineer,7,UNMAPPED
Dir Transfer Ctr Div Svc Line,7,UNMAPPED
Vendor - Epic Radiant,7,NON_CLINICAL
Special Procedures Tech II,7,TECH
LVHO - Physical Therapy Student,7,NON_CLINICAL
Data Integration Eng II,7,UNMAPPED
MEDICAL LAB TECH,7,TECH
RN-Post Partum PRN,7,RN
Fac SC OR Tech Trident CHA,7,TECH
Tech Installations Lead II WFH,7,TECH
RN Behavioral Health - Eating Disorders,7,RN
PCT Unit PRN,7,UNMAPPED
RN Hematology/BMT W/E,7,RN
Student-PTA,7,NON_CLINICAL
DHP-Ophthalmic Tech,7,TECH
Mental Health Prof III,7,UNMAPPED
Sr. Accountant,7,UNMAPPED
ECMO Specialist RRT PRN,7,TECH
Specialty Nurse PRN,7,RN
Mgr Cardiac Svcs,7,UNMAPPED
Rehab Tech - Inpatient,7,TECH
Medical Lab Technician Noncert,7,TECH
Mgr NICU,7,UNMAPPED
EEG Technician Nonreg,7,TECH
RN Neonatal Admissions,7,RN
RN Vascular Imaging PRN,7,RN
Physical Therapist Inp PRN,7,ALLIED_HEALTH
RN Quality Coord Accred Sepsis,7,RN
Echocardiology Technician,7,PROVIDER
TECH Pharmacy PRN,7,TECH
Dir Claims,7,UNMAPPED
Coord Sepsis RN,7,RN
Level II - Application Engineer,7,UNMAPPED
RN Arrhythmia Care Unit,7,RN
DHP-Occupational Therapist,7,ALLIED_HEALTH
Supv Purchasing,7,UNMAPPED
Student - PT Rehab,7,NON_CLINICAL
Dir Financial Reporting,7,UNMAPPED
Unit Coord PRN,7,UNMAPPED
Technical Test Analyst,7,NON_CLINICAL
RN Care Coord MHP I,7,RN
IM Resident PGY2,7,PROVIDER
Fac Comms & CE Specialist,7,UNMAPPED
Nurse Intern II PRN,7,RN
Engineer II,7,UNMAPPED
Interventional Radiograph PRN,7,UNMAPPED
RN Mat Care Ctr PRN,7,RN
Enrollment Manager,7,UNMAPPED
RN 6E MED/SUR Oncology - PRN,7,RN
Plant Ops Lead,7,UNMAPPED
Housekeeper 1 PRN,7,EVS
Patient Care Attendant,7,UNMAPPED
Instructor Cert PRN,7,UNMAPPED
Dialysis Care Tech SAMC,7,TECH
AHMC Physician,7,PROVIDER
Medical office Specialist,7,NON_CLINICAL
PCT-C,7,UNMAPPED
Ultra Sound Tech PRN,7,TECH
RN Intake Triage Specialist,7,RN
Patient Care Asst Bone Marrow,7,UNMAPPED
Coord Lung Clinic RN,7,RN
Sr Tech Consultant WFH,7,TECH
Surgical Technologist  Ortho Cert,7,TECH
Phys Pract Acctg - HCAPS,7,UNMAPPED
X Ray Asst,7,UNMAPPED
EDI Onbase Associate,7,UNMAPPED
RRT Travel PRN,7,TECH
OTSTU,7,UNMAPPED
Full Stack Software Eng V,7,UNMAPPED
Resident PGY 2,7,PROVIDER
RN Tele/IMC/PCU PRN,7,RN
Coord Risk,7,UNMAPPED
Administrative Coord WFH,7,NON_CLINICAL
LIP-Cardiovascular Disease,7,UNMAPPED
Med Student Yr 4  / GME NJFK,7,NON_CLINICAL
HWS | Mental Health Therapist | Psychiatric Unit,7,UNMAPPED
RN Unit Based III,7,RN
Cardiovascular Perfusion Student,7,NON_CLINICAL
Coord Quality Perf Imp,7,UNMAPPED
RN - 25867,7,RN
Assoc Recruiter Team VI WFH,7,UNMAPPED
Cons IAM Security Eng WFH,7,SECURITY
RN Behavioral Health IPF,7,RN
Online Marketing Analyst WFH,7,NON_CLINICAL
Clerk Cardiac Cath Lab PRN,7,NON_CLINICAL
Paramedic II,7,TECH
Patient Safety Attendant Temp,7,TECH
Senior - Access Coordinator,7,UNMAPPED
Analyst II - Parallon Accounting,7,NON_CLINICAL
EFDV-Obstretrics & Gynecology,7,PROVIDER
EFDV-Manager,7,UNMAPPED
EFDV-Valet,7,UNMAPPED
EFDV-Pediatrics,7,PROVIDER
EFDV-APRN,7,UNMAPPED
EFDV-Patient Care Technician,7,TECH
EFDV-Law Enforcement,7,SECURITY
EVS Tech 1 - PRN,7,EVS
Level I - Product Support Analyst,7,NON_CLINICAL
Manager  -  Product Development,7,UNMAPPED
Level II - Data Integration Engineer,7,UNMAPPED
Analyst II – Clinical Abstraction Trauma,7,PROVIDER
Physical Therapist UC,7,ALLIED_HEALTH
Neurodiagnostic Technician,6,TECH
Supv Rehab Unit,6,UNMAPPED
RN-Interventional Radiography,6,RN
Mgr PBX,6,NON_CLINICAL
Coord Emergency Preparedness,6,UNMAPPED
RN I Charge,6,RN
OR/Scrub Technician PRN,6,TECH
Speech Therapist-PRN,6,UNMAPPED
RN III GF PRN,6,RN
CFA II,6,UNMAPPED
Dir Emergency Preparedness,6,UNMAPPED
Mgr Rehab Therapy,6,UNMAPPED
Surg Technologist CV Lead Cert,6,TECH
Program Manager WFH,6,UNMAPPED
Coord Service,6,UNMAPPED
Lead Endo/GI Tech Cert,6,TECH
RN Medical Care PRN,6,RN
Coord Radiology,6,PROVIDER
Certified Nursing Asst(PRN),6,RN
Cath Lab Tech IV,6,TECH
Mgr RI,6,UNMAPPED
RN Radiation Oncology PRN,6,RN
Scheduling Clerk PRN,6,NON_CLINICAL
RN Virtual PRN,6,RN
Community Instructor PRN,6,UNMAPPED
OBGYN,6,UNMAPPED
Mechanic III PRN,6,UNMAPPED
RN Oncology Head/Neck,6,RN
RESP THERAPIST,6,UNMAPPED
Nurse Reviewer - TX Healthspring,6,RN
Review User 45 days,6,UNMAPPED
Surgical Attendant PRN,6,UNMAPPED
Database Administrator,6,NON_CLINICAL
Nuc Med Technol PRN,6,UNMAPPED
Patient Rep,6,NON_CLINICAL
MRI Technologist 7/7,6,TECH
Communications Operator PRN,6,UNMAPPED
Echo Technologist Reg PRN,6,TECH
Coord Service Line RN,6,RN
Mgr Nursing Endo/GI,6,RN
Discharge Planner IP,6,UNMAPPED
Coding Integrity Specialist I,6,UNMAPPED
Physician/Med Staff - HCAPS,6,PROVIDER
Lead CT 3D Specialist,6,UNMAPPED
Student- PT/OT,6,NON_CLINICAL
Mgr Outpatient Svcs,6,UNMAPPED
Medical Office Specialists,6,NON_CLINICAL
Expression Therapist PRN,6,UNMAPPED
Vascular Gen Ultrasound Tech,6,TECH
RN Caps Specialist PRN,6,RN
Customer Support Spec II PRN,6,NON_CLINICAL
Network Eng WFH,6,UNMAPPED
RN IRU Pre/Post Care PRN,6,RN
Physician - Cardiology,6,PROVIDER
RN Cardiovascular Operating Room (CVOR),6,RN
Non-Emp Dialysis RN,6,RN
Mgr Analytics/Reporting,6,UNMAPPED
Student PT Rehab Non-Emp,6,NON_CLINICAL
RN PRN Pediatrics,6,RN
Echo Technician/Accred Spec,6,TECH
Manage Care with Insurance - Simply (Better Health),6,UNMAPPED
Wound Care Tech,6,TECH
Gynecologist Oncology,6,PROVIDER
Dir Fac Mgmt F,6,UNMAPPED
Registrar Edmond PRN,6,NON_CLINICAL
PCA MS,6,UNMAPPED
Sr Staff Data Eng,6,UNMAPPED
Pt Access TL OU,6,UNMAPPED
Ambetter Insurance Reviewer,6,UNMAPPED
Coord Infection Prevention PRN,6,UNMAPPED
Coder III OP WFH,6,NON_CLINICAL
Cardiac Cath Lab Technologist OT 10,6,TECH
RN Preadmissions Testing,6,RN
Emergency Svcs Unit Secretary,6,NON_CLINICAL
RN Joint PACU,6,RN
Orthopedic Technician PRN,6,PROVIDER
LPN PRN WFH,6,RN
Security & Maintenance Tech,6,SECURITY
Assessment Clinician Lic,6,UNMAPPED
Sr Security Controls Eng,6,SECURITY
*Food Service Host/Hostess,6,NON_CLINICAL
Educator,6,UNMAPPED
Clin Nurse Coord Outpt Surg,6,RN
Surgical/OR Technician Ortho,6,TECH
Dir Revenue Integrity,6,UNMAPPED
Staff RN -PRN,6,RN
Executive Admin Asst PRN,6,NON_CLINICAL
RN Preop/PACU PRN,6,RN
Mgr Occ Med Sales UC WFH,6,UNMAPPED
Auditor-Clinical,6,UNMAPPED
RN Afib Center,6,RN
Asst Dir Environmental Services,6,EVS
Admin Coord Transplant Fin,6,NON_CLINICAL
SCC Assistant Medical,6,UNMAPPED
Nurse Practitioner Acute Care,6,PROVIDER
RN ATP3,6,RN
Cathetarization Laboratory Tec...,6,UNMAPPED
Housekeeping Aide/Tech,6,EVS
Hyperbaric Tech Burn Ctr,6,TECH
Vendor - Epic HIM,6,NON_CLINICAL
Waiting Room Liaison,6,UNMAPPED
Learning Tech Dev WFH,6,TECH
Inpatient Auth Spec PRN WFH,6,UNMAPPED
RN Surgical Svcs PAT,6,RN
Enrollment Counselour,6,UNMAPPED
Health Unit Coordinator PRN,6,UNMAPPED
Coord Office Rehab Svcs,6,NON_CLINICAL
Mgr Transplant Svcs,6,UNMAPPED
Grill Cook,6,NON_CLINICAL
Cons Tech Installations Lead,6,TECH
Coord Cardiac Svcs Program,6,UNMAPPED
OR Supply Chain Technician PRN,6,SUPPLY_CHAIN_TECH
Sr IPS Business Analyst,6,NON_CLINICAL
RN IMC PRN,6,RN
Supv Clinical Dietitians,6,ALLIED_HEALTH
Coord Palliative Care,6,PROVIDER
Radiation Onc Therapist PRN,6,UNMAPPED
OR Service Line Lead,6,UNMAPPED
Hospitality Associate FNS,6,UNMAPPED
Dir Scheduling WFH,6,UNMAPPED
Full Stack Software Eng IV,6,UNMAPPED
RN Quality Analyst L&D,6,RN
Div Pharm Automation Spec,6,UNMAPPED
ADC-Physician,6,PROVIDER
Rehab Liaison PRN,6,UNMAPPED
Radiation Safety Officer,6,NON_CLINICAL
RN Float CC PRN,6,RN
Physical Therapy Asst Cert PRN,6,TECH
Mental Health Tech I - PRN,6,TECH
Student - Occupational Therapist,6,NON_CLINICAL
RN Level 1,6,RN
Mgr LSL LIS Support WFH,6,UNMAPPED
MRI Multi Modality Tech,6,TECH
FANS Purchasing Clerk,6,NON_CLINICAL
Health Unit Coordinator - FS,6,UNMAPPED
Polysomnography Technician Reg,6,TECH
Dir IT&S WFH,6,UNMAPPED
Speech Language Path III,6,ALLIED_HEALTH
Speech/Lang Pathologist,6,UNMAPPED
Materials Spec II,6,UNMAPPED
Mgr Technical Product,6,UNMAPPED
Neurodiagnostic Asst PRN,6,UNMAPPED
Sr Dir Perf Impvt OR,6,UNMAPPED
Billing Representative WFH,6,NON_CLINICAL
CT/MRI 3D Specialist PRN,6,UNMAPPED
Occupational Therapist Float Pool,6,ALLIED_HEALTH
Medical Asst WFH,6,MA
Speech Lang Path PRN,6,UNMAPPED
RN Staff Surgery/CVU,6,RN
Supv Food Svcs,6,NON_CLINICAL
Coord Hospital Equipment,6,UNMAPPED
Scheduler Imaging/OR,6,NON_CLINICAL
Athletic Training student,6,NON_CLINICAL
Cons App Eng,6,UNMAPPED
Clin Nurse Coord Med/Ortho,6,RN
Vendor AP Specialist WFH,6,NON_CLINICAL
Endoscopy Tech PRN,6,TECH
Therapy Office Coordinator,6,NON_CLINICAL
Student Nur non-empl,6,NON_CLINICAL
Social Services Specialist MSW,6,UNMAPPED
LTAC-Pharmacy Technician,6,TECH
Automation Analyst,6,NON_CLINICAL
Accounting Specialist,6,UNMAPPED
Program Professional CHS WFH,6,UNMAPPED
Captain,6,UNMAPPED
Food Service Worker II,6,NON_CLINICAL
OR Technician III Cert,6,TECH
Cross Train Radiology Tech,6,PROVIDER
Coord Valve Clinic RN,6,RN
Interim PPS Coord Remote,6,UNMAPPED
RN Outpt Svs,6,RN
BHU Clin Nurse Coord,6,RN
Meal Relief RN NICU/MB,6,RN
Coord Clinical Research CBCI,6,UNMAPPED
RN Vascular Access,6,RN
Onboarding Specialist CHS WFH,6,UNMAPPED
Sterile Process Tech 1,6,TECH
Billing - Pathology Resource Network,6,PROVIDER
DHP-Data Collector,6,NON_CLINICAL
WVAL Physician Assistant Student,6,PROVIDER
Cons Prod Analyst Pharm,6,NON_CLINICAL
Supv Staffing Coord,6,UNMAPPED
Neonatal Nurtion Tech,6,PROVIDER
IP Physical Therapist,6,ALLIED_HEALTH
Mgr Program,6,UNMAPPED
Fee Analyst,6,NON_CLINICAL
PCT Lead,6,UNMAPPED
Clinic Front Office,6,NON_CLINICAL
Specialty Lead II,6,UNMAPPED
Accounting Intern Temp,6,NON_CLINICAL
AP Audit Analyst,6,NON_CLINICAL
Med Off Spec - 26052,6,UNMAPPED
EMT TN PRN,6,TECH
Med Off Spec - 24265,6,UNMAPPED
RN SPD High PRN,6,SUPPLY_CHAIN_TECH
DHP-Nutrional Services-Non Clinical,6,UNMAPPED
Department Assistant,6,UNMAPPED
Intern Temp,6,NON_CLINICAL
Ameripath Pathology Biller,6,PROVIDER
Nurse Practioner,6,RN
PCT II PRN,6,UNMAPPED
Mgr Regional Coding WFH,6,UNMAPPED
Coord Behavioral Health,6,PROVIDER
Colon/Rectal Surgery,6,PROVIDER
Interventional Spec Proc Tech,6,TECH
Sr System Educator,6,UNMAPPED
RN 6 W MED/SURG,6,RN
Resident 3/4 only,6,PROVIDER
RN EP Float,6,RN
Collection Spec,6,NON_CLINICAL
Mgr Consulting Svc WFH,6,UNMAPPED
Certified Ultrasound Tech- PRN,6,TECH
Clin Lab Technician Adv CLTA,6,TECH
Dir RI WFH,6,UNMAPPED
RN Coord Patient Logis PRN WFH,6,RN
Coordinator Other Clinical,6,UNMAPPED
RN Heart/Lung PRN,6,RN
Student - Respiratory Therapist (DSMC),6,NON_CLINICAL
ECLS Specialist PRN Pedi,6,UNMAPPED
RN Float Critical I PRN,6,RN
Admin Dir Nursing Operations,6,RN
Radiology Tech - PRN,6,PROVIDER
LPN FT WFH,6,RN
AVP Audit,6,UNMAPPED
Boiler Operator,6,UNMAPPED
Terminal Cleaner,6,UNMAPPED
Echo/Vascular Tech III PRN,6,TECH
Sr Dir Accounts,6,UNMAPPED
Coord Service Line II RN,6,RN
Contractor- TESTING SERVICES,6,NON_CLINICAL
RN MICU2,6,RN
RN II Staff PACU,6,RN
RN PostPartum PRN,6,RN
Strategic Resource Qual TL WFH,6,UNMAPPED
Coord Food & Nutr Svcs,6,NON_CLINICAL
Pharmacist Pediatrics,6,ALLIED_HEALTH
RN Day Surgery Pre/Post Op,6,RN
Hospitality Assoc Room Svc PRN,6,UNMAPPED
UCLA - Divesting CDI,6,UNMAPPED
Mgr Critical Care IMCU,6,PROVIDER
Ulltrasound Technologist PRN,6,TECH
Coord Clin Nurse,6,RN
Vendor - Coder,6,NON_CLINICAL
Guest Relations Specialist PRN,6,UNMAPPED
EDI TL WFH,6,UNMAPPED
Credentialing Spec P,6,UNMAPPED
COO,6,UNMAPPED
Exercise Physiologist Lead,6,UNMAPPED
UCLA - Corporate Financial User,6,UNMAPPED
Comm Outreach Spec II,6,UNMAPPED
Clin Nurse Coord CV Prog,6,RN
RN Intake Specialist,6,RN
RN Premium Float Pool MS PRN,6,RN
Payroll Analyst WFH,6,NON_CLINICAL
RN Neonatal AL,6,RN
Hospitality Assoc EVS II PRN,6,EVS
Surgical Equipment Technician,6,TECH
Supv Purchasing WFH,6,UNMAPPED
RN Med/Surg IR PRN,6,RN
Dir Safety,6,UNMAPPED
Pharmacy Clin Specialist JW,6,UNMAPPED
Dir Change Mgmt,6,UNMAPPED
Emerg Dept Technician PRN,6,TECH
Lead Sterile Proc Tech Cert,6,TECH
Coord Anesthesia,6,PROVIDER
RN IR PRN,6,RN
Case Mgmt Admin Asst,6,NON_CLINICAL
Coord WH Ops,6,UNMAPPED
Dir Plus Care Network SE WFH,6,UNMAPPED
Lead Central Sterile Tech Cert,6,TECH
Gen Surgery 4 Year Resident,6,PROVIDER
Lead Patient Care Tech IRF,6,TECH
Dir QA,6,UNMAPPED
Mgr PTAC Ctr Unit WFH,6,UNMAPPED
Mgr CSC Pharm,6,UNMAPPED
Financial Analyst Lead,6,NON_CLINICAL
Maintenance Mechanic II/PD,6,UNMAPPED
Mgr Food Srvcs,6,NON_CLINICAL
Sr Service Desk Analyst,6,NON_CLINICAL
Registered Nurse - ELC,6,RN
Sr Developer,6,UNMAPPED
Dir Bed Management,6,UNMAPPED
Admin Dir Oncology,6,PROVIDER
TL PT Ben Adv,6,UNMAPPED
Patient Svs Representative PRN,6,UNMAPPED
Anesthesiology PGY II,6,PROVIDER
RN - 25940,6,RN
RN PAIN PRN,6,RN
VP Strategic Sourcing,6,UNMAPPED
Polysomnography Technician PRN,6,TECH
Student Nurse Instructor Non-Employee - NS,6,RN
Mgr Clinical Research,6,UNMAPPED
Technician Security & Maint,6,SECURITY
Sales Associate - Bean Shops,6,UNMAPPED
Rad Tech Speciality,6,TECH
RN Float Pool Womens PRN,6,RN
Analytics Eng,6,UNMAPPED
Medical Tech Core,6,TECH
Mgr Data Quality,6,UNMAPPED
RN III Certified,6,RN
PCT Inpatient Rehab PRN,6,UNMAPPED
RN - 25850,6,RN
Certified Diabetes Educator,6,UNMAPPED
Clin Nurse Coord Endo,6,RN
Nuclear Medicine/Rad Technol,6,UNMAPPED
CS Technician,6,TECH
Dir Group Finance,6,UNMAPPED
Precision Document Solutions (PDS),6,UNMAPPED
Sr Member Support Analyst,6,NON_CLINICAL
RN Infusion Svcs,6,RN
Faculty Instructor Nursing,6,RN
TECH Psych,6,TECH
Chaplain/Patient Rep,6,NON_CLINICAL
Coder III DAL WFH,6,NON_CLINICAL
Sr Clinical Data Analyst WFH,6,NON_CLINICAL
Labor Relations Dir,6,UNMAPPED
IP Speech Language Pathologist,6,ALLIED_HEALTH
RAD TECH Student,6,NON_CLINICAL
CT Technician I,6,TECH
Clerk IV PRN,6,NON_CLINICAL
Sr Principal Architect,6,UNMAPPED
Dir Pharm G,6,UNMAPPED
Fin Counselor PRN,6,UNMAPPED
RN Cardiovascular II,6,RN
Registrar Riverside PRN,6,NON_CLINICAL
Div AVP Infection Prevention,6,UNMAPPED
Paramedic - ED,6,TECH
RN Surgical Svcs Specialty,6,RN
Med Imaging Spec III Nuc Med,6,UNMAPPED
Product Mgr WFH,6,UNMAPPED
RN Clinical Reviewer,6,RN
Transcriptionist PRN,6,UNMAPPED
Coord Respiratory,6,TECH
RN OR Float,6,RN
Audit Mgr WFH,6,UNMAPPED
Student Speech Therapy Non-emp...,6,NON_CLINICAL
Speech Language Path II PRN,6,ALLIED_HEALTH
Crisis Intervention Specialist,6,UNMAPPED
LPN/LVN Intake Nurse - HH&H,6,RN
LVN Float Pool,6,RN
