staff_role,count,classified_role
Transporter PRN,827,NON_CLINICAL
RN Progressive Care Unit/Stepdown,823,RN
TNB Physician Office Staff,812,PROVIDER
CT Tech,811,TECH
RN ED PRN,807,RN
Physician Office Staff - Corpus,794,PROVIDER
RN Emergency Svcs PRN,793,RN
Medical Technologist PRN,793,TECH
Vascular Surgery,791,PROVIDER
Patient Rep UC,788,NON_CLINICAL
Physician Assistant,788,PROVIDER
Student Nurse (LVL2) South Carolina,786,RN
Student Nurse (LVL2) San Jose,779,RN
Medical Oncology,777,PROVIDER
Clinical Pharmacist,768,ALLIED_HEALTH
Student - Nursing Northern VA,758,RN
Laboratory Asst PRN,756,TECH
Nurse Extern,746,RN
Physician Office Staff Biller,720,PROVIDER
Radiology Technician,717,PROVIDER
Student Nurse (LVL2) Galen - Nashville,717,RN
Oral Surgery,710,PROVIDER
Dermatology,710,PROVIDER
Surgical Technologist Cert,709,TECH
RN Progressive Care Unit /Stepdown,709,RN
Adjunct Faculty,701,NON_CLINICAL
Pain Medicine,700,PROVIDER
Coder QC Management-On_Off Site,696,NON_CLINICAL
FNS Asst,695,UNMAPPED
RN I PRN,693,RN
Clinical Student,687,NON_CLINICAL
RN Med/Surg PRN,681,RN
DHP-Community Liaison,675,UNMAPPED
EVS Assoc,673,EVS
Student Nurse (LVL2) Idaho,673,RN
** CORRECT POSITION NOT LISTED **,672,UNMAPPED
Clin Ed Prof Dev Educator,670,UNMAPPED
Coord Medical Office,668,NON_CLINICAL
LPN PRN,663,RN
Non-Privileged Provider,661,UNMAPPED
Student Nurse (LVL2) Galen - South Carolina,657,RN
Physician Office Staff - Timp,655,PROVIDER
RN Labor & Deliver,654,RN
Staff,653,UNMAPPED
RN Operating Room & Outpatient Surgery,651,RN
CT Technologist PRN,646,TECH
Student - Nursing Southwest VA,646,RN
Resident I,644,PROVIDER
Pharmacy Technician,643,TECH
Pharmacy Technician II,643,TECH
Global ROI,643,UNMAPPED
POS Clinical,628,UNMAPPED
Radiation Oncology,623,PROVIDER
RN Critcare Staff - BCP,618,RN
DHP-Scribe (ED),617,TECH
Social Worker MSW,610,ALLIED_HEALTH
RN Critical,610,RN
Student Nurse (LVL2) Tampa,609,RN
Hospitality Associate EVS I,605,EVS
RN Emergency Staff - BCP,595,RN
Radiology Technologist,589,PROVIDER
Student Nurse - Level 1,583,RN
COE Pharm WFH,582,UNMAPPED
Dentistry,566,PROVIDER
Pharmacist PRN,564,ALLIED_HEALTH
EHR Go-Live Specialist WFH,560,UNMAPPED
Physician office staff,557,NON_CLINICAL
Cardiothoracic Surgery,555,PROVIDER
Student Nurse (LVL2) Galen - Kentucky,544,RN
Student Nurse (LVL2) Louisiana,542,RN
RN OR PRN,537,RN
CCU - PHY HBP Associate,537,UNMAPPED
General Resident,536,PROVIDER
Scheduler,535,NON_CLINICAL
Student Nurse (LVL2) Galen - North Central Florida,524,RN
Clin Nurse Coord SP,524,RN
RN Case Mgr,517,RN
Resident I Internal Medicine,510,PROVIDER
Patient Care Tech / C.N.A,510,TECH
Pediatric Cardiology,509,PROVIDER
Student Nurse (LVL2) Galen - Central Virginia,508,RN
Sterile Processing Technician,506,SUPPLY_CHAIN_TECH
Physician Office Staff - Pasco/Hernando,506,PROVIDER
RN Float Pool,505,RN
Pharmacy Student,501,NON_CLINICAL
Student - Nursing - RCHO,500,RN
RN Case Mgr PRN,499,RN
Admin Asst,499,NON_CLINICAL
Procedural Tech,499,TECH
Scheduler WFH,499,NON_CLINICAL
Ultrasound Technologist,497,TECH
Resident II,489,PROVIDER
Student Instructor,489,NON_CLINICAL
EVS Asst PRN,488,EVS
RN Neonatal Intensive Care Unit,487,RN
Pharmacy Technician PRN,485,TECH
Respiratory Therapist RRT,484,TECH
DHP-Sonographer,482,TECH
Hospice and Palliative Medicine,478,PROVIDER
PBX Operator,478,NON_CLINICAL
Volunteer - SDMC regular,478,NON_CLINICAL
RN Progressive Care Staff - BCP,477,RN
Student Nurse (LVL2) Southwest Virginia,472,RN
PTAC Ctr Unit Rep WFH,471,UNMAPPED
DHP-Newborn Hearing Screener,471,UNMAPPED
Respiratory Therapist,465,TECH
MRI Technologist,463,TECH
Morrison (Food & Nutrition),458,NON_CLINICAL
Clinical Dietitian,457,ALLIED_HEALTH
Student - Nursing Northeast,456,RN
Patient Rep UCMDN,452,NON_CLINICAL
Physical Therapy Asst,450,TECH
Student Nurse (LVL2) New Hampshire,450,RN
Office Staff-Clinical,449,NON_CLINICAL
BHS Vendor,449,NON_CLINICAL
Ultrasound Technologist PRN,448,TECH
Speech Language Path PRN,444,ALLIED_HEALTH
"Endocrinology, Diabetes & Metabolism",443,PROVIDER
Student Nurse (LVL2) South Texas,439,RN
Speech Language Pathologist,438,ALLIED_HEALTH
Customer Advisor WFH,436,NON_CLINICAL
Mental Health Technician,436,TECH
Medical Asst UC PRN,435,MA
Physician Office Scheduler WFH,432,PROVIDER
Psychiatry,431,PROVIDER
RN Critical Care PRN,429,RN
Collector WFH,427,NON_CLINICAL
RN II PRN,426,RN
Radiology Technologist PRN,423,PROVIDER
Advanced Patient Care Tech,423,TECH
RN General,422,RN
PA Student,422,NON_CLINICAL
RN Womens Svcs,421,RN
RN II 12 Hour Straight,420,RN
Patient Logistics Spec,419,SUPPLY_CHAIN_TECH
Monitor Tech PRN,417,TECH
RN W/E,417,RN
CNA,417,TECH
Resident IV,415,PROVIDER
Physician Office Staff - Kingwood,415,PROVIDER
Environmental Services Tech,409,EVS
RN CC/IMC Adult,406,RN
AR Denials Associate,406,UNMAPPED
Charge Support Spec,405,UNMAPPED
Student Nurse (LVL2) Georgia,405,RN
Medical Asst UCMDN,403,MA
RN ICU,403,RN
Cook II,400,NON_CLINICAL
Trauma,398,PROVIDER
RN CCU,395,RN
Radiology Tech,393,PROVIDER
Mgr Practice II,391,UNMAPPED
APP - Certified Anesthesiology Assistant (CAA),387,PROVIDER
RN Spec PRN,386,RN
DHP-Dialysis Nurse,383,RN
Social Worker MSW PRN,381,ALLIED_HEALTH
Program Administrator,380,NON_CLINICAL
Virtual Registrar WFH,380,NON_CLINICAL
Clinical Pharmacist PRN,380,ALLIED_HEALTH
Medical Laboratory Technician,378,TECH
Physician Office Staff / Support,377,PROVIDER
Release of Information,376,UNMAPPED
Unit Secretary PRN,375,NON_CLINICAL
Abstractor I WFH,375,NON_CLINICAL
Paramedic ED PRN,373,TECH
Resident III Internal Medicine,373,PROVIDER
Paramedic PRN,371,TECH
Physician Office Staff - Rio Grande,371,PROVIDER
Resident Medical,370,PROVIDER
Pharmacy Technician II PRN,368,TECH
FNS Worker,368,UNMAPPED
Sterile Processing Tech,367,SUPPLY_CHAIN_TECH
Patient Rep UC PRN,367,NON_CLINICAL
RN Surg-OR Staff - BCP,367,RN
Physical Therapy Asst PRN,365,TECH
RN CC/IMC Childrens,365,RN
Intern,365,NON_CLINICAL
Student - Nursing Denver Galen Market,365,RN
RN Critical PRN,364,RN
Maternal & Fetal Medicine,364,PROVIDER
Cardiology-Electrophysiology,364,PROVIDER
Anesthesia Technician,362,PROVIDER
FANS Asst,360,UNMAPPED
RN Cardiac Cath Lab,360,RN
Fin Counselor,359,UNMAPPED
Ultrasound Technician,357,TECH
Collection Spec WFH,355,NON_CLINICAL
Clinical Support Coord,354,UNMAPPED
Resident II Internal Medicine,354,PROVIDER
Student Nurse (LVL2) Houston,353,RN
Physician Office Staff - Valley,352,PROVIDER
MRI Technologist PRN,351,TECH
Sterile Processing Tech Cert,350,SUPPLY_CHAIN_TECH
Case Mgr,349,UNMAPPED
RN Behavioral Health,349,RN
DHP-Cardiovascular Perfusionist,349,TECH
Student Nurse (LVL2) Missouri + Kansas City,349,RN
Tech Analyst,349,TECH
Resident I Transitional Year,349,PROVIDER
Adjunct Faculty PRN,349,NON_CLINICAL
RN CVICU,347,RN
Tech Analyst II,347,TECH
RN Endo/GI,346,RN
CRNA,346,PROVIDER
Advanced PCT,345,UNMAPPED
QCTX Staff,343,UNMAPPED
Supv Food & Nutrition Svcs,342,NON_CLINICAL
APP - Certified Nurse Midwife (CNM),342,PROVIDER
Central Sterile Technician,342,TECH
Pt Ben Adv,337,UNMAPPED
Allergy & Immunology,336,PROVIDER
Consultant,335,NON_CLINICAL
Paramedic,333,TECH
RN Float,333,RN
Physician Office Staff-Clinical,333,PROVIDER
Supv House Admin PRN,332,NON_CLINICAL
Surgical Technologist,331,TECH
Mental Health Prof II Masters,330,UNMAPPED
Patient Care Technician,330,TECH
RN Travel PRN,329,RN
RN Surgical Svcs/OR,327,RN
Physician Services Contact Center Agent,327,PROVIDER
Mgr Practice III,326,UNMAPPED
Interventional Radiology,326,PROVIDER
Patient Care Tech Float,324,TECH
Student - Nursing Northwest,324,RN
RN ICU PRN,323,RN
EMS Student,321,NON_CLINICAL
Nurse Practitioner UC,318,PROVIDER
RN PACU Staff - BCP,318,RN
EVS Housekeeper,318,EVS
Pt Access TL,317,UNMAPPED
Physician Office Staff - Clearlake,317,PROVIDER
Mgr Med/Surg,316,UNMAPPED
Clin Nurse Coord III,316,RN
Administrative Care Tech,314,TECH
RN Specialty PRN,313,RN
Physician Office Staff - Bayshore,310,PROVIDER
RN Maternal Staff - BCP,309,RN
Pt Exp Concierge,308,UNMAPPED
Registered Respiratory Therapist,308,TECH
Rheumatology,307,PROVIDER
Staff Nurse,305,RN
Surgical Technologist Cert PRN,303,TECH
Recruiter WFH,302,UNMAPPED
RN Pediatrics,301,RN
Admissions Rep/Registrar,300,NON_CLINICAL
Advanced Clinical Pharmacist,298,ALLIED_HEALTH
Remote Payor Nurse Reviewer,298,RN
Student RT,298,NON_CLINICAL
Multi Tech MA UC,296,TECH
Application Eng,296,UNMAPPED
Hospitality Assoc EVS I,295,EVS
Colon & Rectal Surgery,295,PROVIDER
Instructor - Nursing,294,RN
Clin Nurse Coord I,293,RN
EVS Associate,289,EVS
Surgical Tech,289,TECH
Student Nurse (LVL2) Galen - Las Vegas,288,RN
Mental Health Prof II Mast PRN,285,UNMAPPED
FNS Worker II,285,UNMAPPED
Pediatric Emergency Medicine,284,PROVIDER
Medical Students,283,NON_CLINICAL
Surgical Services Aide,281,UNMAPPED
Office Staff,281,NON_CLINICAL
Physician Office Staff-NonClinical,281,PROVIDER
PT Portal Support Agent,281,UNMAPPED
Phys Office Scheduler WFH,281,NON_CLINICAL
Student nurse with documentation,280,RN
Clin Nurse Coord MS,279,RN
Respiratory Therapist RRT PRN,279,TECH
Hospitality Assoc FNS I,279,UNMAPPED
LVN PRN,278,RN
